SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
60,1.3589249,63.082298,0.17452553,0.039995573
60,1.3589305,50.144421,0.17831868,0.042030655
60,1.3589326,39.808914,0.17982787,0.04570647
60,1.3589284,31.629555,0.18720672,0.050237674
60,1.3589317,25.104433,0.19505666,0.057003766
60,1.3589329,19.955299,0.19915603,0.059088167
60,1.358936,15.857577,0.20744915,0.066258699
60,1.358934,12.600809,0.21395184,0.075556472
60,1.3589332,10.003201,0.22553524,0.083689123
60,1.3589344,7.9395323,0.23830427,0.094580352
60,1.3589339,6.3105812,0.24795417,0.1079183
60,1.3589329,5.0080128,0.26199663,0.12289222
60,1.3589451,3.9778516,0.27986154,0.13825005
60,1.3589395,3.1629555,0.30022746,0.15311751
60,1.3589432,2.5136747,0.32432336,0.1696822
60,1.3589467,1.99553,0.35244492,0.18382588
60,1.3589404,1.5853286,0.38546818,0.19497423
60,1.3589538,1.2596742,0.41720954,0.20606276
60,1.3589506,1.0000639,0.45308432,0.21061975
